Year,School,Speaker,SpeakerTitle,SpeakerFirst,SpeakerMiddle,SpeakerLast,EventType,ControversyTopic,DisinvitationYN,FromRightorLeftofSpeaker
2003,Rutgers University,Natan Sharansky,,Natan,,Sharansky,Campus Speech/Debate,Views on Israeli-Palestinian Conflict,No,From the Left
2003,St. Joseph's University,Rick Santorum,,Rick,,Santorum,Commencement,Views on Sexual Orientation,No,From the Left
2003,"University of California, Berkeley",Ward Connerly,,Ward,,Connerly,Campus Speech/Debate,Racial Issues,No,From the Left
2003,Rockford College,Chris Hedges,,Chris,,Hedges,Commencement,Other Political Views or Positions,Yes,From the Right
2003,"Michigan State University	",Dan Flynn,,Dan,,Flynn,Campus Speech/Debate,Other Political Views or Positions,Yes,From the Left
2004,Villanova University,Caroll Spinney,,Caroll,,Spinney,Commencement,Other,No,N/A
2004,University of Saint Francis,Nancy Snyderman,,Nancy,,Snyderman,Commencement,Views on Abortion/Contraception,Yes,From the Right
2004,American University,Michelle Malkin,,Michelle,,Malkin,Campus Speech/Debate,"Racial Issues, Other Political Views or Positions",Yes,From the Left
2004,University of Arizona,Ann Coulter,,Ann,,Coulter,Campus Speech/Debate,"Views on Islam, Other Political Views or Positions",No,From the Left
2004,"California State University, San Marcos",Michael Moore,,Michael,,Moore,Campus Speech/Debate,Other Political Views or Positions,Yes,N/A
2004,George Mason University,Michael Moore,,Michael,,Moore,Campus Speech/Debate,Other Political Views or Positions,Yes,From the Right
2004,Catholic University,Eleanor Holmes Norton,,Eleanor Holmes,,Norton,Campus Speech/Debate,Views on Abortion/Contraception,Yes,From the Right
2004,Mount Saint Mary's College,Alberto Gonzales,,Alberto,,Gonzales,Commencement,Civil Liberties,Yes,From the Left
2004,Catholic University,Stanley Tucci,,Stanley,,Tucci,Campus Speech/Debate,Views on Abortion/Contraception,Yes,From the Right
2004,Hamilton College,Susan Rosenberg,,Susan,,Rosenberg,Teaching,"Other Political Views or Positions, Civil Liberties, Criminal/Other Misconduct",Yes,From the Right
2004,University of Arizona,George W. Bush,,George W.,,Bush,Commencement,Other Political Views or Positions,Yes,From the Right
2004,"University of California, Berkeley",Daniel Pipes,,Daniel,,Pipes,Campus Speech/Debate,"Views on Islam, Views on Israeli-Palestinian Conflict, Other Political Views or Positions",No,From the Left
2005,Santa Monica College,Arnold Schwarzenegger,,Arnold,,Schwarzenegger,Commencement,"Other Political Views or Positions, Local Politics",No,From the Left
2005,Bowling Green State University,David Horowitz,,David,,Horowitz,Campus Speech/Debate,Other Political Views or Positions,No,From the Left
2005,Calvin College,George W. Bush,,George W.,,Bush,Commencement,"Other Political Views or Positions, Civil Liberties",No,From the Left
2005,Western Michigan University,Pat Buchanan,,Pat,,Buchanan,Campus Speech/Debate,"Other Political Views or Positions, Views on Immigration",Yes,From the Left
2005,Georgetown University,Norman Finkelstein,,Norman,,Finkelstein,Campus Speech/Debate,Views on Israeli-Palestinian Conflict,No,From the Right
2005,University of Oregon,Ward Churchill,,Ward,,Churchill,Campus Speech/Debate,Other Political Views or Positions,Yes,From the Right
2005,Hamilton College,Ward Churchill,,Ward,,Churchill,Campus Speech/Debate,Other Political Views or Positions,Yes,From the Right
2005,St. Elizabeth College of Nursing,Sherwood Boehert,,Sherwood,,Boehert,Commencement,Views on Abortion/Contraception,Yes,From the Right
2005,"University of Hawaii, Manoa",Ward Churchill,,Ward,,Churchill,Campus Speech/Debate,Other Political Views or Positions,No,From the Right
2005,Wheaton College,Ward Churchill,,Ward,,Churchill,Campus Speech/Debate,Other Political Views or Positions,Yes,From the Right
2005,Antioch College,Ward Churchill,,Ward,,Churchill,Commencement,Other Political Views or Positions,Yes,From the Right
2005,"University of Wisconsin, Whitewater",Ward Churchill,,Ward,,Churchill,Campus Speech/Debate,Other Political Views or Positions,No,From the Right
2005,Butler University,David Horowitz,,David,,Horowitz,Campus Speech/Debate,Other Political Views or Positions,No,From the Left
2005,Arkansas State University,David Corn,,David,,Corn,Campus Speech/Debate,Other Political Views or Positions,Yes,From the Right
2005,Harvard University,Norman Finkelstein,,Norman,,Finkelstein,Campus Speech/Debate,Views on Israeli-Palestinian Conflict,Yes,From the Right
2005,Middlebury College,Rudy Giuliani,,Rudy,,Giuliani,Commencement,"Other Political Views or Positions, Civil Liberties, Local Politics",No,From the Left
2005,Harvard University,Norman Finkelstein,,Norman,,Finkelstein,Campus Speech/Debate,Views on Israeli-Palestinian Conflict,No,From the Right
2005,Harding University,Ann Coulter,,Ann,,Coulter,Campus Speech/Debate,"Other Political Views or Positions, Civil Liberties",Yes,From the Left
2005,"California State University, East Bay",Richard Rodriguez,,Richard,,Rodriguez,Commencement,"Racial Issues, Other Political Views or Positions, Views on Immigration",Yes,From the Left
2005,Rice University,Michelle Hebl,,Michelle,,Hebl,Commencement,Other,No,N/A
2005,Eastern Washington University ,Ward Churchill,,Ward,,Churchill,Campus Speech/Debate,Other Political Views or Positions,Yes,From the Right
2005,"New York University	",Shirley Tilghman,,Shirley,,Tilghman,Commencement,Other,No,N/A
2005,Earlham College,William Kristol,,William,,Kristol,Campus Speech/Debate,Other Political Views or Positions,No,From the Left
2006,"Brandeis University	",Tony Kushner,,Tony,,Kushner,Commencement,Views on Israeli-Palestinian Conflict,No,From the Right
2006,"Catholic University of America	",Bob Casey,,Bob,,Casey,Campus Speech/Debate,"Views on Abortion/Contraception, Views on Sexual Orientation",No,From the Right
2006,"University of California, Los Angeles",Yaron Brook,,Yaron,,Brook,Campus Speech/Debate,"Views on Islam, Other Political Views or Positions",No,From the Left
2006,"Georgetown University	",Chris Simcox,,Chris,,Simcox,Campus Speech/Debate,"Other Political Views or Positions, Views on Immigration",No,From the Left
2006,Boston College,Condoleezza Rice,,Condoleezza,,Rice,Commencement,Other Political Views or Positions,No,From the Left
2006,"University of Michigan	",Brigitte Gabriel,,Brigitte,,Gabriel,Campus Speech/Debate,Views on Islam,No,From the Left
2006,"Columbia University	",Mahmoud Ahmadinejad,,Mahmoud,,Ahmadinejad,Campus Speech/Debate,"Views on Israeli-Palestinian Conflict, Other Political Views or Positions",Yes,From the Right
2006,Nova Southeastern University,Salman Rushdie,,Salman,,Rushdie,Commencement,Views on Islam,No,From the Left
2006,Oklahoma State University,George W. Bush,,George W.,,Bush,Commencement,Other Political Views or Positions,No,From the Left
