trafficLight,Year,School,Speaker,SpeakerTitle,SpeakerFirst,SpeakerMiddle,SpeakerLast,EventType,ControversyTopic,DisinvitationYN,FromRightorLeftofSpeaker,id,trafficId,disinvitationId,trafficDisinviteId
yellow,2013,Brown University,Ray Kelly,,Ray,,Kelly,Campus Speech/Debate,"Racial Issues, Civil Liberties",Yes,From the Left,215,328,354,354
yellow,2013,"University of California, Santa Barbara",David Harris-Gershon,,David,,Harris-Gershon,Campus Speech/Debate,Views on Israeli-Palestinian Conflict,Yes,From the Right,231,330,355,355
yellow,2014,"University of California, Irvine",Nonie Darwish,,Nonie,,Darwish,Campus Speech/Debate,Views on Islam,Yes,From the Left,248,336,356,356
yellow,2014,"University of California, Berkeley",Peter Thiel,,Peter,,Thiel,Campus Speech/Debate,"Racial Issues, Civil Liberties",Yes,From the Left,252,339,357,357
yellow,2014,Haverford College,Robert Birgeneau,,Robert,,Birgeneau,Commencement,Civil Liberties,Yes,From the Left,255,340,358,358
yellow,2014,Smith College,Christine Lagarde,,Christine,,Lagarde,Commencement,Views on Gender,Yes,From the Left,256,341,359,359
yellow,2014,Rutgers University,Condoleezza Rice,,Condoleezza,,Rice,Commencement,"Other Political Views or Positions, Civil Liberties",Yes,From the Left,259,342,360,360
yellow,2014,Scripps College,George Will,,George,,Will,Campus Speech/Debate,Views on Gender,Yes,From the Left,263,344,361,361
yellow,2014,Brandeis University,Ayaan Hirsi Ali,,Ayaan,,Hirsi Ali,Commencement,Views on Islam,Yes,From the Left,269,347,362,362
yellow,2015,"University of California, Berkeley",Nicholas Dirks,,Nicholas,,Dirks,Campus Speech/Debate,"Racial Issues, Other",Yes,From the Left,272,348,363,363
yellow,2015,University of Southern California,Luis Gutierrez,,Luis,,Gutierrez,Campus Speech/Debate,Views on Immigration,Yes,From the Right,287,351,364,364
yellow,2015,Williams College,Suzanne Venker,,Suzanne,,Venker,Campus Speech/Debate,Views on Gender,Yes,From the Left,290,352,365,365
yellow,2016,San Francisco State University,Nir Barkat,,Nir,,Barkat,Campus Speech/Debate,Views on Israeli-Palestinian Conflict,Yes,From the Left,293,353,366,366
yellow,2016,"California State University, Los Angeles",Ben Shapiro,,Ben,,Shapiro,Campus Speech/Debate,"Racial Issues, Civil Liberties",Yes,From the Left,297,355,367,367
yellow,2016,Brown University,Janet Mock,,Janet,,Mock,Campus Speech/Debate,Views on Israeli-Palestinian Conflict,Yes,From the Left,298,356,368,368
yellow,2016,Williams College,John  Derbyshire,,John ,,Derbyshire,Campus Speech/Debate,Racial Issues,Yes,From the Left,300,357,369,369
yellow,2016,Trinity College,Action Bronson,,Action,,Bronson,Other,"Views on Gender, Other",Yes,From the Left,305,358,370,370
yellow,2016,"California State University, Northridge",George Gawrych,,George,,Gawrych,Campus Speech/Debate,Other Political Views or Positions,Yes,N/A,324,362,371,371
yellow,2017,"University of California, Berkeley",Milo Yiannopoulos,,Milo,,Yiannopoulos,Campus Speech/Debate,"Views on Sexual Orientation, Racial Issues, Views on Gender, Other Political Views or Positions, Views on Immigration",Yes,From the Left,337,366,372,372
yellow,2017,Texas Southern University,John Cornyn,,John,,Cornyn,Commencement,Racial Issues,Yes,From the Left,340,367,373,373
yellow,2017,Texas Southern University,Briscoe Caine,,Briscoe,,Caine,Campus Speech/Debate,Racial Issues,Yes,From the Left,357,370,374,374
yellow,2017,Columbia University,Tommy Robinson,,Tommy,,Robinson,Campus Speech/Debate,"Racial Issues, Views on Immigration",Yes,From the Left,358,371,375,375
yellow,2017,University of Rochester,Morgan Levy,,Morgan,,Levy,Campus Speech/Debate,Other Political Views or Positions,Yes,From the Left,365,374,376,376
yellow,2018,California Polytechnic State University,Bill Whittle,,Bill,,Whittle,Campus Speech/Debate,"Racial Issues, Views on Islam",Yes,From the Left,372,377,377,377
yellow,2018,Rutgers University,Mazen Adi,,Mazen,,Adi,Teaching,Views on Israeli-Palestinian Conflict,Yes,From the Right,373,378,378,378
